Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,YearRated,Metascore Rating
tt4272866,8,2016-02-10,Bakemono no ko,https://www.imdb.com/title/tt4272866/,movie,7.7,119,2015,"Animation, Action, Adventure, Fantasy",13052,2015-07-11,Mamoru Hosoda,2016,6.5
tt4283358,6,2016-01-20,Les saisons,https://www.imdb.com/title/tt4283358/,movie,7.2,96,2015,Documentary,1085,2015-10-23,"Jacques Cluzaud, Jacques Perrin",2016,6.7
tt4287320,6,2017-07-19,The Circle,https://www.imdb.com/title/tt4287320/,movie,5.3,110,2017,"Drama, Sci-Fi, Thriller",60283,2017-04-26,James Ponsoldt,2017,4.3
tt4291600,6,2017-04-13,Lady Macbeth,https://www.imdb.com/title/tt4291600/,movie,6.9,89,2016,"Drama, Romance",11586,2016-09-10,William Oldroyd,2017,7.6
tt4302938,8,2016-09-25,Kubo and the Two Strings,https://www.imdb.com/title/tt4302938/,movie,7.8,101,2016,"Animation, Action, Adventure, Family, Fantasy",91848,2016-08-13,Travis Knight,2016,8.4
tt0433400,4,2017-11-26,Just Friends,https://www.imdb.com/title/tt0433400/,movie,6.2,96,2005,"Comedy, Romance",91133,2005-11-23,Roger Kumble,2017,4.7
tt4334266,4,2017-09-25,The Bad Batch,https://www.imdb.com/title/tt4334266/,movie,5.3,118,2016,"Drama, Horror, Romance, Sci-Fi",15153,2016-09-06,Ana Lily Amirpour,2017,6.2
tt4385888,7,2017-03-07,20th Century Women,https://www.imdb.com/title/tt4385888/,movie,7.4,119,2016,"Comedy, Drama",26428,2016-10-08,Mike Mills,2017,8.3
tt4386356,4,2016-08-10,Tout pour être heureux,https://www.imdb.com/title/tt4386356/,movie,6.3,97,2015,"Comedy, Drama",367,2015-11-12,Cyril Gelblat,2016,NA
tt4400038,7,2016-02-10,Chocolat,https://www.imdb.com/title/tt4400038/,movie,7.1,119,2016,"Biography, Drama",4897,2016-01-05,Roschdy Zem,2016,NA
tt4411596,5,2017-07-29,My Cousin Rachel,https://www.imdb.com/title/tt4411596/,movie,6,106,2017,"Drama, Mystery, Romance",11992,2017-06-07,Roger Michell,2017,6.3
tt4420704,7,2018-01-01,Kedi,https://www.imdb.com/title/tt4420704/,movie,7.7,79,2016,Documentary,8525,2016-02-21,Ceyda Torun,2018,7.8
tt4425200,6,2017-06-11,John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/,movie,7.5,122,2017,"Action, Crime, Thriller",225379,2017-01-30,Chad Stahelski,2017,7.5
tt4428740,3,2016-04-21,Les malheurs de Sophie,https://www.imdb.com/title/tt4428740/,movie,5.5,106,2016,Comedy,239,2016-03-20,Christophe Honoré,2016,NA
tt0443465,3,2016-05-07,Before We Go,https://www.imdb.com/title/tt0443465/,movie,6.8,95,2014,"Comedy, Drama, Romance",37926,2014-09-12,Chris Evans,2016,3.1
tt4438848,5,2016-08-14,Neighbors 2: Sorority Rising,https://www.imdb.com/title/tt4438848/,movie,5.7,92,2016,Comedy,90865,2016-04-26,Nicholas Stoller,2016,5.8
tt4447076,8,2016-02-23,Rosalie Blum,https://www.imdb.com/title/tt4447076/,movie,6.8,95,2015,Comedy,962,2015-11-11,Julien Rappeneau,2016,NA
tt4466894,4,2017-02-13,Sahara,https://www.imdb.com/title/tt4466894/,movie,5.5,86,2017,"Animation, Adventure, Comedy, Family, Romance",1483,2017-01-18,Pierre Coré,2017,NA
tt4468740,7,2017-12-03,Paddington 2,https://www.imdb.com/title/tt4468740/,movie,7.9,103,2017,"Animation, Adventure, Comedy, Family, Fantasy",25820,2017-11-05,Paul King,2017,8.8
tt4481414,7,2017-08-12,Gifted,https://www.imdb.com/title/tt4481414/,movie,7.6,101,2017,Drama,65338,2017-04-07,Marc Webb,2017,6
tt4500922,5,2018-02-08,Maze Runner: The Death Cure,https://www.imdb.com/title/tt4500922/,movie,6.4,141,2018,"Action, Sci-Fi, Thriller",44945,2018-01-17,Wes Ball,2018,5.1
tt4505118,3,2016-01-12,Arrête ton cinéma!,https://www.imdb.com/title/tt4505118/,movie,4.9,90,2016,Comedy,128,2016-01-05,Diane Kurys,2016,NA
tt4505208,7,2016-02-19,La vache,https://www.imdb.com/title/tt4505208/,movie,6.8,91,2016,"Adventure, Comedy, Drama",1557,2016-01-14,Mohamed Hamidi,2016,NA
tt0451279,8,2017-06-08,Wonder Woman,https://www.imdb.com/title/tt0451279/,movie,7.5,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",404126,2017-05-15,Patty Jenkins,2017,7.6
tt4513674,6,2016-05-21,Café Society,https://www.imdb.com/title/tt4513674/,movie,6.6,96,2016,"Comedy, Drama, Romance",55908,2016-05-11,Woody Allen,2016,6.4
tt4515544,1,2016-02-16,La tour 2 contrôle infernale,https://www.imdb.com/title/tt4515544/,movie,4.1,88,2016,Comedy,528,2016-01-24,Eric Judor,2016,NA
tt4523050,6,2016-02-15,Marseille,https://www.imdb.com/title/tt4523050/,movie,4.9,97,2016,"Comedy, Drama",265,2016-01-16,Kad Merad,2016,NA
tt4531006,4,2016-01-01,Je compte sur vous,https://www.imdb.com/title/tt4531006/,movie,5.6,98,2015,"Biography, Comedy, Crime, Drama",281,2015-12-30,Pascal Elbé,2016,NA
tt4535650,5,2017-07-29,Dilwale,https://www.imdb.com/title/tt4535650/,movie,5.3,158,2015,"Action, Comedy, Romance",26824,2015-12-17,Rohit Shetty,2017,NA
tt4547056,6,2017-07-09,The Girl with All the Gifts,https://www.imdb.com/title/tt4547056/,movie,6.7,111,2016,"Drama, Horror, Thriller",39114,2016-08-03,Colm McCarthy,2017,6.7
tt4550098,6,2017-01-05,Nocturnal Animals,https://www.imdb.com/title/tt4550098/,movie,7.5,116,2016,"Crime, Drama, Romance, Thriller",175901,2016-09-02,Tom Ford,2017,6.7
tt4551314,4,2016-09-17,Un petit boulot,https://www.imdb.com/title/tt4551314/,movie,6.5,107,2016,"Comedy, Crime",1121,2016-08-01,Pascal Chaumeil,2016,NA
tt4555426,7,2018-01-21,Darkest Hour,https://www.imdb.com/title/tt4555426/,movie,7.4,125,2017,"Biography, Drama, History, War",91793,2017-09-01,Joe Wright,2018,7.5
tt0462335,5,2016-04-06,High-Rise,https://www.imdb.com/title/tt0462335/,movie,5.6,119,2015,Drama,30489,2015-09-13,Ben Wheatley,2016,6.5
tt4624424,6,2016-12-04,Storks,https://www.imdb.com/title/tt4624424/,movie,6.8,87,2016,"Animation, Adventure, Comedy, Family, Fantasy",45329,2016-09-22,"Nicholas Stoller, Doug Sweetland",2016,5.6
